Song Name,YouTube URL
Roz Roz Reshma,https://www.youtube.com/watch?v=F3k9Xw2M48o
Shayad (Lofi Flip),https://www.youtube.com/watch?v=0m1VFNQFVew
Huzur Is Kadar,https://www.youtube.com/watch?v=daocLOGvJIg
Yun Hi Chala Chal,https://www.youtube.com/watch?v=H74S3B1tH8Y
Purani Jeans,https://www.youtube.com/watch?v=XzW6D8W_xWk
Ee Vedanti (Marathi),https://www.youtube.com/watch?v=M2O8Xk8G9dU
Illegal Weapon,https://www.youtube.com/watch?v=42S7z-M6Vfk
Ek Ladki Ko Dekha,https://www.youtube.com/watch?v=vV2Xk9oF8y4
Kun Faya Kun,https://www.youtube.com/watch?v=T94PHkuydcw
Woh Ladki Bahut Yaad Aati Hai,https://www.youtube.com/watch?v=hMFYC2lKVC8
Chupke Chupke Raat Din,https://www.youtube.com/watch?v=vVbXqQO5mDk
Mahi Aaja,https://www.youtube.com/watch?v=u1F8V8M_n8U
Chori Chori,https://www.youtube.com/watch?v=N8X8x9E2a4w
Dolby Walya,https://www.youtube.com/watch?v=O12wM4K8yR4
Tum Se Hi,https://www.youtube.com/watch?v=mt9xg0mmt28
In Dino (Lofi Remix),https://www.youtube.com/watch?v=0m1VFNQFVew
Yeh Sham Mastani,https://www.youtube.com/watch?v=vV3Xk8M4x0w
Deewangi Deewangi,https://www.youtube.com/watch?v=VzLG6OqFw8k
Kya Karoon,https://www.youtube.com/watch?v=T8x9K8xM4Ew
Wakhra Swag,https://www.youtube.com/watch?v=R8xM5k8oF2w
Jivrang (Marathi),https://www.youtube.com/watch?v=vV4Xk8L2n3w
Awara (Lofi Loop),https://www.youtube.com/watch?v=hMFYC2lKVC8
Koi Fariyaad,https://www.youtube.com/watch?v=vVbXqQO5mDk
Roop Tera Mastana,https://www.youtube.com/watch?v=vV3Xk7F9m2w
Guri Lahariya,https://www.youtube.com/watch?v=O8xM7K2yD4o
Suno Aisa (Indipop),https://www.youtube.com/watch?v=vV8Xm4F5n8w
Matzha Malhar,https://www.youtube.com/watch?v=M8xL9K2y8w0
Raanjhanaa (Lofi Edit),https://www.youtube.com/watch?v=0m1VFNQFVew
Mere Bina,https://www.youtube.com/watch?v=0m1VFNQFVew
Chura Liya (Lofi Remake),https://www.youtube.com/watch?v=hMFYC2lKVC8
Khamoshiyan,https://www.youtube.com/watch?v=M8X7y2M4w8w
Na Ja,https://www.youtube.com/watch?v=Q8xM9K2wD8w
Saibo,https://www.youtube.com/watch?v=vV7Xm8K2d4w
Mera Dil Bhi Kitna Pagal Hai,https://www.youtube.com/watch?v=hMFYC2lKVC8
Baat Niklegi To Phir,https://www.youtube.com/watch?v=vVbXqQO5mDk
Kaho Na Pyaar Hai,https://www.youtube.com/watch?v=vV6Xm8K3e8w
Abhang Fusion (Marathi),https://www.youtube.com/watch?v=M8xN2M4w8x0
Pappu Can't Dance,https://www.youtube.com/watch?v=M8xL7K2yE4w
Ya Ali,https://www.youtube.com/watch?v=M8xN7M4yD2w
Sajan Ghar Aaye,https://www.youtube.com/watch?v=vV9Xm4F2d7w
Kali Kali Aankhen (Lofi),https://www.youtube.com/watch?v=hMFYC2lKVC8
Chaudhvin Ka Chand,https://www.youtube.com/watch?v=vV3Xk8F3m9w
Bheegi Bheegi Raaton Mein,https://www.youtube.com/watch?v=vV4Xm9K3y8w
Zindagi Ke Safar Mein,https://www.youtube.com/watch?v=vV3Xk7F2d4w
Chitthi Aai Hai,https://www.youtube.com/watch?v=vVbXqQO5mDk
Sairat Zaala Ji,https://www.youtube.com/watch?v=8VfndcEms5g
Mehrama (Lofi version),https://www.youtube.com/watch?v=0m1VFNQFVew
Babuji Dheere Chalna,https://www.youtube.com/watch?v=Qh_L3e0Q5pE
Gur Nalo Ishq Mitha,https://www.youtube.com/watch?v=DdBhMv1nOUI
Jashne Bahara (Lofi),https://www.youtube.com/watch?v=0m1VFNQFVew
Gham Ka Khazana,https://www.youtube.com/watch?v=vVbXqQO5mDk
Chaiyya Chaiyya,https://www.youtube.com/watch?v=SAcpESN_Fk4
Saada Kutta Kutta,https://www.youtube.com/watch?v=VNs_cCtdbCw
Olya Sanjveli (Marathi),https://www.youtube.com/watch?v=420qX9X2jZ0
Pehla Nasha (Lofi Flip),https://www.youtube.com/watch?v=wMokm5yK8_M
Pyaar Ka Pehla Khat,https://www.youtube.com/watch?v=vVbXqQO5mDk
Zara Sa (Lofi Version),https://www.youtube.com/watch?v=0m1VFNQFVew
Kajra Re,https://www.youtube.com/watch?v=9xT6LqY4vS8
Kya Hua Tera Wada,https://www.youtube.com/watch?v=da1hW_vM4_M
Na Tum Jano Na Hum,https://www.youtube.com/watch?v=tU2yD_3G4l4
Jind Mahi,https://www.youtube.com/watch?v=qX3H4wYd6tU
Hridayi Vasant (Marathi),https://www.youtube.com/watch?v=s3M2dGzWdFk
Ranjha (Lofi Flip),https://www.youtube.com/watch?v=0m1VFNQFVew
Ahista Ahista Ghazal,https://www.youtube.com/watch?v=daocLOGvJIg
Dus Bahane,https://www.youtube.com/watch?v=GkXk8W8E7dM
Made In India,https://www.youtube.com/watch?v=w6Z7y-wF8y0
Mundian To Bach Ke,https://www.youtube.com/watch?v=uuCFRaFWjwY
Aaye Ho Meri Zindagi Mein,https://www.youtube.com/watch?v=vV3XQ9aQO3M
Hosanna (Lofi Mix),https://www.youtube.com/watch?v=0m1VFNQFVew
Hangover,https://www.youtube.com/watch?v=tA7z9kE_aA8
Ti Sadhya Kay Karte (Marathi),https://www.youtube.com/watch?v=F3k9Xw2M48o
Kisi Nazar Ko Tera Intezar,https://www.youtube.com/watch?v=vVbXqQO5mDk
Lift Karade,https://www.youtube.com/watch?v=jCe1P91Bq_I
Sauda Khara Khara,https://www.youtube.com/watch?v=hjWf8A0YNSE
Mitwa (Lofi Flip),https://www.youtube.com/watch?v=0m1VFNQFVew
Pal Pal Dil Ke Paas,https://www.youtube.com/watch?v=cYOB9dt1PXU
Mora Saiyan,https://www.youtube.com/watch?v=j7fLskO-2-o
Ek Din Aap (Lofi),https://www.youtube.com/watch?v=hMFYC2lKVC8
Sarakti Jaye Hai,https://www.youtube.com/watch?v=daocLOGvJIg
Jeene Laga Hoon,https://www.youtube.com/watch?v=R0Xj67n5MvY
Mala Ved Laagale,https://www.youtube.com/watch?v=y3F2RkO_kF0
Bapu Zenda,https://www.youtube.com/watch?v=8q7_i77i8xQ
Tujhe Sochta Hoon (Lofi),https://www.youtube.com/watch?v=0m1VFNQFVew
Parda Hai Parda,https://www.youtube.com/watch?v=vV3Xk8M4x0w
Abhi Toh Party Shuru Hui Hai,https://www.youtube.com/watch?v=dZ0fwJoj4Gs
Soniyo (Lofi Flip),https://www.youtube.com/watch?v=0m1VFNQFVew
Apne Honton Par Sajana,https://www.youtube.com/watch?v=vVbXqQO5mDk
Allah Ke Bande,https://www.youtube.com/watch?v=N8X8x9E2a4w
Jaguar,https://www.youtube.com/watch?v=5rGv1b0fG-4
Gulabi (Marathi Movie Theme),https://www.youtube.com/watch?v=O12wM4K8yR4
Dil Ibaadat (Lofi),https://www.youtube.com/watch?v=0m1VFNQFVew
Likhe Jo Khat Tujhe,https://www.youtube.com/watch?v=vV3Xk7F9m2w
Gulaabo,https://www.youtube.com/watch?v=mt9xg0mmt28
Tera Zikr (Lofi Version),https://www.youtube.com/watch?v=0m1VFNQFVew
Awari,https://www.youtube.com/watch?v=M8X7y2M4w8w
Naag,https://www.youtube.com/watch?v=O8xM7K2yD4o
Gondhal Fusion,https://www.youtube.com/watch?v=vV4Xk8L2n3w
Chupke Chupke (Pankaj Udhas),https://www.youtube.com/watch?v=vVbXqQO5mDk
Chaka Chak,https://www.youtube.com/watch?v=R7GfTidgRDU
Haare Haare (Lofi Remix),https://www.youtube.com/watch?v=hMFYC2lKVC8
Aane Wala Pal,https://www.youtube.com/watch?v=vV3XQ9aQO3M
Naam Hai Tera,https://www.youtube.com/watch?v=7X9FfQdYnSM
Coka,https://www.youtube.com/watch?v=Q8xM9K2wD8w
Dhaga Dhaga (Marathi),https://www.youtube.com/watch?v=M2O8Xk8G9dU
Kal Ho Naa Ho (Lofi Flip),https://www.youtube.com/watch?v=0m1VFNQFVew
Karoge Yaad To,https://www.youtube.com/watch?v=daocLOGvJIg
Hookah Bar,https://www.youtube.com/watch?v=M8xL7K2yE4w
Pyaar Karte Hain (Indipop),https://www.youtube.com/watch?v=XzW6D8W_xWk
Khaab,https://www.youtube.com/watch?v=u1F8V8M_n8U
Manjha,https://www.youtube.com/watch?v=T8x9K8xM4Ew
Sajaa De Ghar (Lofi),https://www.youtube.com/watch?v=3t3JSH-yXas
Safar Mein Dhoop To Hogi,https://www.youtube.com/watch?v=vVbXqQO5mDk
Chura Liya Hai (Original),https://www.youtube.com/watch?v=da1hW_vM4_M
Wajle Ki Bara,https://www.youtube.com/watch?v=N4l_dFh6M6A
Satisfya,https://www.youtube.com/watch?v=uuCFRaFWjwY
Jab Koi Baat (Lofi Mix),https://www.youtube.com/watch?v=hMFYC2lKVC8
Subah Subah,https://www.youtube.com/watch?v=cYOB9dt1PXU
Deewane To Deewane Hain,https://www.youtube.com/watch?v=w6Z7y-wF8y0
Yeh Raaten Yeh Mausam,https://www.youtube.com/watch?v=Vq7HscD11Wk
Hangama Hai Kyon Barpa,https://www.youtube.com/watch?v=vVbXqQO5mDk
Navrai Majhi (Mix),https://www.youtube.com/watch?v=s3M2dGzWdFk
Dil Chhota Sa,https://www.youtube.com/watch?v=H74S3B1tH8Y
Daku,https://www.youtube.com/watch?v=VNs_cCtdbCw
Aankh Hai Bhari Bhari 2.0,https://www.youtube.com/watch?v=hMFYC2lKVC8
Gore Gore Mukhde Pe,https://www.youtube.com/watch?v=9xT6LqY4vS8
Dil Cheez Kya Hai,https://www.youtube.com/watch?v=Qh_L3e0Q5pE
Saaho Pagli (Marathi),https://www.youtube.com/watch?v=M8xN2M4w8x0
Tere Khushboo Mein Base Khat,https://www.youtube.com/watch?v=3t3JSH-yXas
Ho Gaya Hai Tujhko Toh Pyar,https://www.youtube.com/watch?v=vV6Xm8K3e8w
Billo Thumka Ji,https://www.youtube.com/watch?v=42S7z-M6Vfk
Galla Goodiyan (Lounge Mix),https://www.youtube.com/watch?v=jCe1P91Bq_I
Kabhi Alvida Naa Kehna (Lofi),https://www.youtube.com/watch?v=0m1VFNQFVew
Abhi Na Jao (Remix),https://www.youtube.com/watch?v=Vq7HscD11Wk
Gur Nalo Ishq Mitha (Bally),https://www.youtube.com/watch?v=DdBhMv1nOUI
Ye Bata De Lofi,https://www.youtube.com/watch?v=3t3JSH-yXas
Kombdi Palali (Original Remix),https://www.youtube.com/watch?v=y3F2RkO_kF0
Excuses,https://www.youtube.com/watch?v=VNs_cCtdbCw
Main Koi Aisa Geet Gaoon (Lofi),https://www.youtube.com/watch?v=hMFYC2lKVC8
Roop Tera Mastana (Mix),https://www.youtube.com/watch?v=vV3Xk7F9m2w
Dil Mera Churaya Kyun (Lofi),https://www.youtube.com/watch?v=hMFYC2lKVC8
Sarkailo Khatiya (Remix),https://www.youtube.com/watch?v=R82C75F8oJ0
Chandi Jaisa Rang (Live Track),https://www.youtube.com/watch?v=vVbXqQO5mDk
Apsara Aali (Lounge Version),https://www.youtube.com/watch?v=420qX9X2jZ0
Tumhe Jo Maine Dekha,https://www.youtube.com/watch?v=tA7z9kE_aA8
Rishte Naate (Lofi),https://www.youtube.com/watch?v=hMFYC2lKVC8
Tanha Dil (Original Vibe),https://www.youtube.com/watch?v=F3t6vM6MhE0
Khaabon Ke Parindey (Lounge Edit),https://www.youtube.com/watch?v=R0Xj67n5MvY
Pyaar Ke Pal,https://www.youtube.com/watch?v=4TPlNOiUK9k
Woh Chali Woh Chali,https://www.youtube.com/watch?v=Z3vKxX22kO8
Kya Soorat Hai,https://www.youtube.com/watch?v=ndU9kBk3UWI
Kitni Haseen Zindagi,https://www.youtube.com/watch?v=w6Z7y-wF8y0
Aankhon Mein,https://www.youtube.com/watch?v=vV2Xk9oF8y4
Jaanam Samjha Karo,https://www.youtube.com/watch?v=F3t6vM6MhE0
Ho Jayegi Balle Balle,https://www.youtube.com/watch?v=j7fLskO-2-o
Baba Deewana,https://www.youtube.com/watch?v=w6Z7y-wF8y0
Disco Deewane,https://www.youtube.com/watch?v=d_kH0N7kY64
Aap Jaisa Koi,https://www.youtube.com/watch?v=Z3vKxX22kO8
Hari Din Toh,https://www.youtube.com/watch?v=7X9FfQdYnSM
Sa Ni Dha Pa,https://www.youtube.com/watch?v=w6Z7y-wF8y0
Breathless,https://www.youtube.com/watch?v=hjWf8A0YNSE
Zingaat,https://www.youtube.com/watch?v=w6Z7y-wF8y0
Yeh Shaam Mastani,https://www.youtube.com/watch?v=Qh_L3e0Q5pE
O Mere Dil Ke Chain,https://www.youtube.com/watch?v=Qh_L3e0Q5pE
Musafir Hoon Yaaron,https://www.youtube.com/watch?v=d_kH0N7kY64
Neele Neele Ambar Par,https://www.youtube.com/watch?v=d_kH0N7kY64
Aap Ki Aankhon Mein Kuch,https://www.youtube.com/watch?v=SAcpESN_Fk4
Ek Ajnabee Haseena Se,https://www.youtube.com/watch?v=g8bTNID9nPs
Khaike Paan Banaraswala,https://www.youtube.com/watch?v=vV3Xk8M4x0w
Zindagi Ek Safar Hai Suhana,https://www.youtube.com/watch?v=vV3Xk8M4x0w
Pyar Deewana Hota Hai,https://www.youtube.com/watch?v=vV3XQ9aQO3M
Rimjhim Gire Saawan,https://www.youtube.com/watch?v=hgi2byJa4hk
Humein Tumse Pyaar Kitna,https://www.youtube.com/watch?v=vV3Xk7F9m2w
Hoshwalon Ko Khabar Kya,https://www.youtube.com/watch?v=cYOB9dt1PXU
Hungama Hai Kyon Barpa,https://www.youtube.com/watch?v=vV3Xk7F9m2w
Aaj Jaane Ki Zid Na Karo,https://www.youtube.com/watch?v=Vq7HscD11Wk
Dil Chahta Hai,https://www.youtube.com/watch?v=vV3XQ9aQO3M
Khaabon Ke Parinday,https://www.youtube.com/watch?v=da1hW_vM4_M
Senorita,https://www.youtube.com/watch?v=vV3XQ9aQO3M
Aao Milo Chalo,https://www.youtube.com/watch?v=vV3XQ9aQO3M
Rock On!!,https://www.youtube.com/watch?v=vV3XQ9aQO3M
Sooraj Ki Baahon Mein,https://www.youtube.com/watch?v=vV3Xk7F2d4w
Ik Junoon,https://www.youtube.com/watch?v=vV3XQ9aQO3M
Ilahi,https://www.youtube.com/watch?v=cYOB9dt1PXU
Safarnama,https://www.youtube.com/watch?v=daocLOGvJIg
Phir Se Ud Chala,https://www.youtube.com/watch?v=daocLOGvJIg
Iktara,https://www.youtube.com/watch?v=vVbXqQO5mDk
Kya Mujhe Pyaar Hai,https://www.youtube.com/watch?v=13QjZ6eP0k4
Aankhon Mein Teri,https://www.youtube.com/watch?v=SAcpESN_Fk4
Ajab Si,https://www.youtube.com/watch?v=R0Xj67n5MvY
Zara Sa,https://www.youtube.com/watch?v=R0Xj67n5MvY
Beete Lamhein,https://www.youtube.com/watch?v=cYOB9dt1PXU
Labon Ko,https://www.youtube.com/watch?v=SAcpESN_Fk4
Aao Na,https://www.youtube.com/watch?v=R0Xj67n5MvY
Maahi,https://www.youtube.com/watch?v=R0Xj67n5MvY
Tum Ho,https://www.youtube.com/watch?v=cYOB9dt1PXU
Phir Mohabbat,https://www.youtube.com/watch?v=Z3vKxX22kO8
Masakali,https://www.youtube.com/watch?v=T94PHkuydcw
Dum Maaro Dum,https://www.youtube.com/watch?v=T94PHkuydcw
Piya Tu Ab To Aaja,https://www.youtube.com/watch?v=0m1VFNQFVew
Raat Akeli Hai,https://www.youtube.com/watch?v=tA7z9kE_aA8
Aaj Ki Raat,https://www.youtube.com/watch?v=tA7z9kE_aA8
Jawani Jan-E-Man,https://www.youtube.com/watch?v=tA7z9kE_aA8
Jimmy Jimmy Aaja,https://www.youtube.com/watch?v=YgL1fMskX2M
I Am a Disco Dancer,https://www.youtube.com/watch?v=YgL1fMskX2M
Yaad Aa Rahi Hai,https://www.youtube.com/watch?v=YgL1fMskX2M
Chura Liya Hai Tumne,https://www.youtube.com/watch?v=SAcpESN_Fk4
Dil Se Re (Lofi Version),https://www.youtube.com/watch?v=YgL1fMskX2M
,https://www.youtube.com/watch?v=T94PHkuydcw
,https://www.youtube.com/watch?v=420qX9X2jZ0
,https://www.youtube.com/watch?v=cYOB9dt1PXU
,https://www.youtube.com/watch?v=mt9xg0mmt28
,https://www.youtube.com/watch?v=0m1VFNQFVew
,https://www.youtube.com/watch?v=T94PHkuydcw
,https://www.youtube.com/watch?v=VNs_cCtdbCw
,https://www.youtube.com/watch?v=da1hW_vM4_M
,https://www.youtube.com/watch?v=da1hW_vM4_M
,https://www.youtube.com/watch?v=Qh_L3e0Q5pE
,https://www.youtube.com/watch?v=GkXk8W8E7dM
,https://www.youtube.com/watch?v=GkXk8W8E7dM
,https://www.youtube.com/watch?v=Qh_L3e0Q5pE
,https://www.youtube.com/watch?v=Qh_L3e0Q5pE
,https://www.youtube.com/watch?v=vV3Xk7F9m2w
,https://www.youtube.com/watch?v=hjWf8A0YNSE
,https://www.youtube.com/watch?v=da1hW_vM4_M
,https://www.youtube.com/watch?v=9xT6LqY4vS8
,https://www.youtube.com/watch?v=SAcpESN_Fk4
,https://www.youtube.com/watch?v=5rGv1b0fG-4
,https://www.youtube.com/watch?v=tU2yD_3G4l4
,https://www.youtube.com/watch?v=F3k9Xw2M48o
,https://www.youtube.com/watch?v=vVbXqQO5mDk
,https://www.youtube.com/watch?v=uuCFRaFWjwY
,https://www.youtube.com/watch?v=jHNNMj5bNQw
,https://www.youtube.com/watch?v=Vq7HscD11Wk
,https://www.youtube.com/watch?v=0m1VFNQFVew
,https://www.youtube.com/watch?v=DdBhMv1nOUI
,https://www.youtube.com/watch?v=8q7_i77i8xQ
,https://www.youtube.com/watch?v=qFm2Xm5qS8o
,https://www.youtube.com/watch?v=cYOB9dt1PXU
,https://www.youtube.com/watch?v=GkXk8W8E7dM
,https://www.youtube.com/watch?v=dZ0fwJoj4Gs
,https://www.youtube.com/watch?v=hMFYC2lKVC8
,https://www.youtube.com/watch?v=H74S3B1tH8Y
,https://www.youtube.com/watch?v=XzW6D8W_xWk
,https://www.youtube.com/watch?v=vVbXqQO5mDk
,https://www.youtube.com/watch?v=u1F8V8M_n8U
,https://www.youtube.com/watch?v=N8X8x9E2a4w
,https://www.youtube.com/watch?v=O12wM4K8yR4
